Index,Heart_Rate
0,59.2885
1,59.2885
2,59.2885
3,58.8973
4,58.4359
5,58.7312
6,59.1926
7,58.9342
8,58.4728
9,57.8148
10,57.041
11,56.5014
12,55.9733
13,55.903
14,56.2174
15,56.7069
16,57.6943
17,58.4568
18,58.8014
19,59.4547
20,61.1772
21,61.8198
22,59.6395
23,57.9757
24,57.315
25,56.8477
26,57.0645
27,57.2652
28,57.5967
29,57.9151
30,57.8072
31,57.6959
32,57.3042
33,56.8671
34,58.7233
35,61.1785
36,61.2107
37,60.5884
38,59.4899
39,58.3177
40,57.8776
41,57.5434
42,58.0224
43,58.8144
44,58.6766
45,58.1066
46,58.0485
47,58.2738
48,58.9334
49,59.9925
50,59.6524
51,58.1461
52,57.3197
53,56.9932
54,56.8562
55,56.9642
56,57.1993
57,57.8651
58,58.7626
59,60.8298
60,62.0315
61,60.3091
62,58.761
63,57.5353
64,56.5658
65,56.2489
66,55.9701
67,56.8106
68,57.6716
69,57.3007
70,56.8636
71,56.4042
72,55.8761
73,55.9608
74,56.2753
75,56.391
76,56.391
77,56.2339
78,55.8162
79,55.5556
80,55.5556
81,55.573
82,55.8851
83,56.1798
84,56.2769
85,56.3825
86,57.2633
87,58.3647
88,57.9332
89,57.0455
90,57.2357
91,57.8964
92,58.6679
93,59.5981
94,59.3446
95,58.1908
96,57.479
97,57.042
98,56.7379
99,56.5243
100,56.5249
101,57.0651
102,57.598
103,58.3899
104,58.9397
105,58.0381
106,57.2348
107,56.6987
108,56.1798
109,56.1798
110,56.1798
111,56.9245
112,57.9044
113,58.7038
114,59.5145
115,59.3594
116,58.7758
117,58.0947
118,57.3149
119,56.8618
120,56.5402
121,56.3479
122,56.2423
123,56.2374
124,56.4494
125,56.653
126,56.9771
127,57.2581
128,57.3677
129,57.4713
130,57.4713
131,57.4713
132,56.903
133,56.2573
134,56.1798
135,56.1798
136,56.5724
137,57.2181
138,57.7631
139,58.3244
140,58.5399
141,58.4259
142,58.3658
143,58.3658
144,58.7911
145,59.9726
146,60.4974
147,59.8949
148,58.9085
149,57.2365
150,56.0365
151,55.4192
152,54.9548
153,55.1575
154,55.3506
155,55.902
156,56.5286
157,56.4427
158,56.2307
159,56.3121
160,56.5241
161,56.5501
162,56.4438
163,56.431
164,56.5374
165,56.7148
166,57.1486
167,57.4713
168,57.4713
169,57.4281
170,56.8879
171,56.391
172,56.8008
173,57.2312
174,57.2519
175,57.2519
176,57.3353
177,57.4449
178,57.3976
179,57.2879
180,57.3151
181,57.4248
182,57.6343
183,57.9685
184,58.433
185,59.1251
186,60.6853
187,63.5321
188,66.2369
189,68.0319
190,66.5347
191,63.7766
192,59.9915
193,56.4358
194,57.6926
195,59.6027
196,59.7183
197,59.3625
198,58.9342
199,58.4728
200,58.4469
201,58.5609
202,59.5505
203,60.9913
204,61.5655
205,61.692
206,60.8818
207,59.7795
208,59.7029
209,59.941
210,59.9101
211,59.7906
212,59.4122
213,58.9435
214,58.5037
215,58.0495
216,57.6367
217,57.1963
218,57.1496
219,57.3681
220,57.8197
221,58.6116
222,59.1991
223,59.552
224,59.6198
225,59.2669
226,59.7371
227,61.5903
228,63.6519
229,65.6045
230,65.4723
231,63.6515
232,60.6914
233,57.5879
234,57.0979
235,57.535
236,57.6923
237,57.6923
238,57.6923
239,57.6923
240,58.4995
241,60.5176
242,61.4446
243,60.8224
244,59.7211
245,58.1051
246,57.0901
247,56.6596
248,56.4174
249,56.5238
250,56.6175
251,56.7247
252,56.8064
253,56.0726
254,55.3506
255,55.525
256,55.7308
257,55.8345
258,55.9385
259,56.3239
260,56.9648
261,56.9597
262,56.3188
263,55.9701
264,55.9701
265,55.9878
266,56.0926
267,56.1866
268,56.3986
269,56.6038
270,57.5112
271,58.5062
272,58.2043
273,57.7536
274,57.6057
275,57.4951
276,57.3192
277,57.1007
278,57.6324
279,58.6429
280,59.8751
281,61.3392
282,61.2161
283,59.9862
284,58.5072
285,56.8352
286,56.0325
287,55.7203
288,55.6202
289,55.8275
290,56.2489
291,57.9081
292,59.3226
293,59.5588
294,59.761
295,59.761
296,59.8387
297,60.446
298,60.8976
299,60.4098
300,59.7977
301,58.5333
302,57.4478
303,57.1212
304,56.8182
305,56.7153
306,56.6081
307,57.061
308,57.6052
309,57.777
310,57.8883
311,57.464
312,56.8083
313,57.0399
314,57.8078
315,58.0268
316,57.8032
317,57.7871
318,58.0107
319,58.0192
320,57.6851
321,57.2956
322,56.6499
323,56.1655
324,56.0607
325,55.9701
326,56.1789
327,56.3893
328,56.6689
329,56.9905
330,57.6268
331,58.4066
332,58.758
333,58.9887
334,58.9764
335,58.8606
336,60.5128
337,63.1523
338,63.1523
339,63.1523
340,63.1523
341,63.1523
342,63.1523
343,63.1523
344,63.1523
345,76.9231
346,73.0549
347,68.1765
348,64.3208
349,61.4754
350,61.4754
351,61.9378
352,63.2514
353,63.9722
354,63.7006
355,63.3232
356,62.9243
357,63.1247
358,63.6589
359,64.9645
360,66.383
361,65.8009
362,64.8101
363,63.9882
364,63.4657
365,64.1478
366,64.436
367,63.8881
368,62.8347
369,61.4194
370,60.7949
371,60.9183
372,60.2992
373,59.1082
374,58.8356
375,59.3006
376,60.0156
377,60.9914
378,61.2017
379,60.706
380,60.0781
381,59.3637
382,58.6899
383,58.0085
384,57.493
385,57.0559
386,56.9685
387,57.4056
