Dataset,1_1_1,1_1_2,1_1_3,1_2_1,1_2_2,1_2_3,1_3_1,1_3_2,1_3_3,2_1_1,2_1_2,2_1_3,2_2_1,2_2_2,2_2_3,2_3_1,2_3_2,2_3_3
Daily_Temperatures_730,1.2552002792101773,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2555065395387155,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222,1.2551075402190222
Daily_Temperatures_365,2.157587606932504,1.9507306784689,1.962514366612428,1.8890357401521831,1.8890357401521831,1.8890357401521831,1.8890357401521831,1.8890357401521831,1.8890357401521831,2.1114272773990312,1.9429392247218065,1.9485252657574028,1.8890357401521831,1.8890357401521831,1.8890357401521831,1.8890357401521831,1.8890357401521831,1.8890357401521831
Heart_Rate_P1_600,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728,0.8698118557975728
Heart_Rate_P1_450,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627,1.1462791008465627
Heart_Rate_P1_360,1.442634364118841,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588,1.4411150018868588
Heart_Rate_P1_300,1.684486016145005,1.6721697867407452,1.6721697867407452,1.6836217767380466,1.6721697867407452,1.6721697867407452,1.6836217767380466,1.6721697867407452,1.6721697867407452,1.6747134317256531,1.6721697867407452,1.6721697867407452,1.6721697867407452,1.6721697867407452,1.6721697867407452,1.6721697867407452,1.6721697867407452,1.6721697867407452
Heart_Rate_P1_225,2.0917856360280225,2.028200053833685,2.028200053833685,2.0324795678563765,2.028200053833685,2.028200053833685,2.0324795678563765,2.028200053833685,2.028200053833685,2.062235109556994,2.028200053833685,2.028200053833685,2.0397747110466056,2.028200053833685,2.028200053833685,2.0397747110466056,2.028200053833685,2.028200053833685
Heart_Rate_P1_200,2.535401774958543,2.371702994081137,2.3826094283374206,2.388096066049012,2.3526277651855425,2.3526277651855425,2.388096066049012,2.3526277651855425,2.3526277651855425,2.496155652909529,2.3721574062545003,2.378886634761393,2.372092537051271,2.3526277651855425,2.3526277651855425,2.372092537051271,2.3526277651855425,2.3526277651855425
Heart_Rate_P1_180,3.013920641716487,2.7284108817085837,2.721413200676674,2.691561030324772,2.673123264481806,2.674641660756243,2.691561030324772,2.673123264481806,2.674641660756243,2.895030964490295,2.714744185287259,2.719042879774707,2.6890714095201638,2.673123264481806,2.673123264481806,2.6890714095201638,2.673123264481806,2.673123264481806
Heart_Rate_P2_600,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723,0.7955193081304723
