Dataset,1_1_1,1_1_2,1_1_3,1_2_1,1_2_2,1_2_3,1_3_1,1_3_2,1_3_3,2_1_1,2_1_2,2_1_3,2_2_1,2_2_2,2_2_3,2_3_1,2_3_2,2_3_3
Daily_Temperatures_10,0.6026469802910898,0.5770904115050719,0.5767777034260785,0.5475973644851708,0.5340175344914198,0.5463908489635599,0.5437973140908222,0.5347404187099436,0.5362463211915804,0.6103123719077053,0.5798978730608202,0.5852482092502418,0.5611908216952588,0.5352649319700777,0.5397946135476573,0.5492303395187702,0.5276213293207429,0.5453697888636165
Heart_Rate_P1_10,0.9282272168726406,0.8817228009022767,0.9058014430202528,0.8933475358867263,0.8311734992026116,0.8408418691383681,0.8811920400291365,0.834555791711911,0.8513519768608077,0.9285820732372336,0.8669802631200068,0.8854978762288523,0.9267698190121,0.832659795611125,0.8491410359959871,0.9452075322975754,0.828084722934879,0.8540024963789364
Heart_Rate_P2_10,0.8835776720139626,0.8183225944638128,0.8525350449515526,0.8515661610049333,0.7502035944978993,0.7847832254393603,0.8444274044923721,0.740867070624603,0.7789135001220567,0.8583484077990556,0.8191589508489107,0.8092929271116927,0.8541300704926774,0.7411651090177787,0.7685552701855263,0.84514729900706,0.7592336571031987,0.7796452845235734
Heart_Rate_P3_10,0.831939902773298,0.7314945417403652,0.7536173518239545,0.7687645382514138,0.6633318408509746,0.6979604700968112,0.7528256006203226,0.6596600630809472,0.6889830004217351,0.8148989297656366,0.6981517930899633,0.7051708638634616,0.7829747983385792,0.6318395873875354,0.6843512425486252,0.7774974851171327,0.6461140793715192,0.6869958795396728
Heart_Rate_P4_10,0.7969170812813815,0.7572381031588324,0.7642342758224113,0.7640448401579167,0.7025722290170733,0.7367617711477049,0.7676644216685937,0.6845230481933412,0.7460552134564455,0.7735402612065013,0.7193164093216086,0.7162031929911639,0.7452265585464629,0.6774989062699862,0.7060768438887159,0.7413431185318603,0.6585734961230755,0.7049846813932472
Synthetic_1_10,0.5860921659274984,0.5201961113771438,0.4646882881028225,0.3043534704011286,0.282768221451647,0.404847992337057,0.2708650259471534,0.3078853864542493,0.3743024939395309,0.5990983975322915,0.4905420678421515,0.5244150818955335,0.4625712026851329,0.3043691671695263,0.4151314481953349,0.4376754921537931,0.2809877668901854,0.423405545263083
Synthetic_2_10,0.6122559522306299,0.4424300900734476,0.4170246405878098,0.3700799093933866,0.2977529123813737,0.3603589625312912,0.367634977933431,0.2939324683739345,0.3603589625312912,0.6199827017095617,0.3468221125161884,0.4196869811103252,0.3808634008623771,0.2975078068198124,0.324149060996758,0.3739896653470439,0.2953506615052307,0.324149060996758
Synthetic_3_10,0.7643790897010566,0.6577245305186517,0.6606694989902995,0.5487171470419026,0.4478708986105702,0.5281928662658886,0.5465106958981798,0.4480113029712631,0.5325833674068581,0.6720441691780462,0.5826699705587449,0.5767892816645092,0.5965886687266942,0.4452814869564946,0.5282647052185363,0.6155422406670017,0.4452814869564946,0.5282647052185363
Synthetic_4_10,0.3818175731410025,0.2946643603003659,0.3020376462585765,0.1898503646407142,0.1685054204140079,0.1739133490263945,0.1898503646407142,0.1663115280006365,0.1740859524404605,0.3524692164717622,0.2460056160387679,0.3188800149902859,0.1840146680156096,0.1590116909940536,0.206337529672845,0.1857575824885651,0.1593474426307574,0.212106551270306
Synthetic_5_10,0.6903060177915055,0.6170636634303652,0.6105311953057749,0.5841157545123283,0.5033486428896475,0.5308250911281622,0.5865428117454687,0.5109674773638193,0.5363844242566458,0.6685595679661859,0.5935805517235344,0.6043204560440187,0.6169213989306719,0.5156796767294423,0.5757252011377808,0.6119355803569237,0.5134344713864395,0.5759087765767285
