Dataset,Tamaño Ventana,Tiempo Medio,Fitnes Medio
Daily_Temperatures,730,5.910519425074259,1.2551229967175481
Daily_Temperatures,365,8.804244947433471,2.036917420531617
Heart_Rate_P1,600,5.934830848375956,0.8698118557975728
Heart_Rate_P1,450,5.949881307284037,1.1462791008465627
Heart_Rate_P1,360,5.908584936459859,1.4412945086600573
Heart_Rate_P1,300,5.925311422348022,1.6735474392307585
Heart_Rate_P1,225,6.024124232927958,2.0476990813568956
Heart_Rate_P1,200,8.481127341588339,2.426820572053455
Heart_Rate_P1,180,9.384417899449666,2.825652007459146
Heart_Rate_P2,600,5.934495417277018,0.7955193081304723
Heart_Rate_P2,450,5.95166715780894,1.2767258014528382
Heart_Rate_P2,360,5.906966996192932,1.3368400685796304
Heart_Rate_P2,300,5.921588929494222,2.067861829853117
Heart_Rate_P2,225,7.1647803544998165,2.3341011761520885
Heart_Rate_P2,200,8.2905566294988,2.437479836659515
Heart_Rate_P2,180,9.372698513666789,3.000272948257915
Heart_Rate_P3,190,5.900036589304606,1.054170117666832
Heart_Rate_P3,95,8.62818128267924,3.4912326611573232
Heart_Rate_P4,190,5.905667448043824,1.0157161262668428
Heart_Rate_P4,95,9.0974813302358,2.8921899307727332
Synthetic_1,250,5.9388554493586225,1.3596645049446356
Synthetic_1,200,6.0942105213801065,0.1881098139456571
Synthetic_1,125,9.054457267125448,1.9072482665134578
Synthetic_1,100,10.07353888352712,1.4830781856294941
Synthetic_2,250,6.150138227144877,0.6832580989602745
Synthetic_2,200,5.959516112009684,0.8401054830208513
Synthetic_2,125,9.66616755326589,1.78511232102917
Synthetic_2,100,9.855875221888224,2.2440693614192684
Synthetic_3,250,5.901187928517659,1.3542446277451696
Synthetic_3,200,6.0228861729303995,2.161581113125835
Synthetic_3,125,9.303535000483196,3.1577365635768095
Synthetic_3,100,9.657778946558635,4.367614038099818
Synthetic_4,250,6.015784017244974,0.7452029926927636
Synthetic_4,200,6.094817248980204,1.8133594594924378
Synthetic_4,125,9.908278290430705,2.1256390841257016
Synthetic_4,100,9.696321574846904,2.635059328263655
Synthetic_5,250,5.903819314638773,1.3292038567821165
Synthetic_5,200,6.101287349065145,1.4961940065532924
Synthetic_5,125,9.875034999847411,2.257396773946625
Synthetic_5,100,9.837970304489136,0.9686509798043141
