Dataset,Tamaño Ventana,Tiempo Medio,Fitnes Medio,Tipo de Cruce,Tipo de Mutacion,Tipo de Reemplazo
Daily_Temperatures,10,10.96135470867157,0.6026469802910898,1.0,1.0,1.0
Daily_Temperatures,10,10.942906777064005,0.5770904115050719,1.0,1.0,2.0
Daily_Temperatures,10,10.920861188570658,0.5767777034260785,1.0,1.0,3.0
Daily_Temperatures,10,11.186925029754638,0.5475973644851708,1.0,2.0,1.0
Daily_Temperatures,10,11.095335412025452,0.5340175344914198,1.0,2.0,2.0
Daily_Temperatures,10,10.94690879980723,0.5463908489635599,1.0,2.0,3.0
Daily_Temperatures,10,11.20944926738739,0.5437973140908222,1.0,3.0,1.0
Daily_Temperatures,10,11.128133702278138,0.5347404187099436,1.0,3.0,2.0
Daily_Temperatures,10,10.92868514060974,0.5362463211915804,1.0,3.0,3.0
Daily_Temperatures,10,11.264577984809875,0.6103123719077053,2.0,1.0,1.0
Daily_Temperatures,10,11.145571692784626,0.5798978730608202,2.0,1.0,2.0
Daily_Temperatures,10,11.168197584152221,0.5852482092502418,2.0,1.0,3.0
Daily_Temperatures,10,11.462065609296163,0.5611908216952588,2.0,2.0,1.0
Daily_Temperatures,10,11.426766935984293,0.5352649319700777,2.0,2.0,2.0
Daily_Temperatures,10,11.147776913642883,0.5397946135476573,2.0,2.0,3.0
Daily_Temperatures,10,11.48261754512787,0.5492303395187702,2.0,3.0,1.0
Daily_Temperatures,10,11.405266984303791,0.5276213293207429,2.0,3.0,2.0
Daily_Temperatures,10,11.156368788083395,0.5453697888636165,2.0,3.0,3.0
Heart_Rate_P1,10,2.91386079788208,0.9282272168726406,1.0,1.0,1.0
Heart_Rate_P1,10,2.8787678321202597,0.8817228009022767,1.0,1.0,2.0
Heart_Rate_P1,10,2.8724952777226767,0.9058014430202527,1.0,1.0,3.0
Heart_Rate_P1,10,3.085539690653483,0.8933475358867263,1.0,2.0,1.0
Heart_Rate_P1,10,3.0473504304885863,0.8311734992026116,1.0,2.0,2.0
Heart_Rate_P1,10,2.887806264559428,0.8408418691383681,1.0,2.0,3.0
Heart_Rate_P1,10,3.0890419721603393,0.8811920400291365,1.0,3.0,1.0
Heart_Rate_P1,10,3.0346426804860434,0.834555791711911,1.0,3.0,2.0
Heart_Rate_P1,10,2.8772400856018066,0.8513519768608077,1.0,3.0,3.0
Heart_Rate_P1,10,3.094132645924886,0.9285820732372337,2.0,1.0,1.0
Heart_Rate_P1,10,2.989614741007487,0.8669802631200068,2.0,1.0,2.0
Heart_Rate_P1,10,2.966388138135274,0.8854978762288523,2.0,1.0,3.0
Heart_Rate_P1,10,3.258060089747111,0.9267698190120999,2.0,2.0,1.0
Heart_Rate_P1,10,3.187607169151306,0.832659795611125,2.0,2.0,2.0
Heart_Rate_P1,10,2.961274536450704,0.8491410359959871,2.0,2.0,3.0
Heart_Rate_P1,10,3.2675238768259685,0.9452075322975754,2.0,3.0,1.0
Heart_Rate_P1,10,3.227160580952962,0.828084722934879,2.0,3.0,2.0
Heart_Rate_P1,10,2.9744096914927165,0.8540024963789364,2.0,3.0,3.0
Heart_Rate_P2,10,2.8939855972925823,0.8835776720139626,1.0,1.0,1.0
Heart_Rate_P2,10,2.866146143277486,0.8183225944638128,1.0,1.0,2.0
Heart_Rate_P2,10,2.858065382639567,0.8525350449515526,1.0,1.0,3.0
Heart_Rate_P2,10,3.111358062426249,0.8515661610049333,1.0,2.0,1.0
Heart_Rate_P2,10,3.0636405467987062,0.7502035944978993,1.0,2.0,2.0
Heart_Rate_P2,10,2.8647788842519124,0.7847832254393603,1.0,2.0,3.0
Heart_Rate_P2,10,3.0869239489237468,0.8444274044923721,1.0,3.0,1.0
Heart_Rate_P2,10,3.066098626454671,0.740867070624603,1.0,3.0,2.0
Heart_Rate_P2,10,2.884779119491577,0.7789135001220567,1.0,3.0,3.0
Heart_Rate_P2,10,3.0795542637507123,0.8583484077990556,2.0,1.0,1.0
Heart_Rate_P2,10,2.9844360828399656,0.8191589508489107,2.0,1.0,2.0
Heart_Rate_P2,10,2.9956421931584676,0.8092929271116927,2.0,1.0,3.0
Heart_Rate_P2,10,3.282746609052022,0.8541300704926774,2.0,2.0,1.0
Heart_Rate_P2,10,3.213458220163981,0.7411651090177787,2.0,2.0,2.0
Heart_Rate_P2,10,3.0314430236816405,0.7685552701855263,2.0,2.0,3.0
Heart_Rate_P2,10,3.2146507263183595,0.84514729900706,2.0,3.0,1.0
Heart_Rate_P2,10,3.1799254496892293,0.7592336571031987,2.0,3.0,2.0
Heart_Rate_P2,10,3.025205055872599,0.7796452845235734,2.0,3.0,3.0
Heart_Rate_P3,10,1.258843962351481,0.831939902773298,1.0,1.0,1.0
Heart_Rate_P3,10,1.2513972759246825,0.7314945417403652,1.0,1.0,2.0
Heart_Rate_P3,10,1.2425014813741049,0.7536173518239545,1.0,1.0,3.0
Heart_Rate_P3,10,1.3754585027694701,0.7687645382514138,1.0,2.0,1.0
Heart_Rate_P3,10,1.3759429454803467,0.6633318408509746,1.0,2.0,2.0
Heart_Rate_P3,10,1.2381426175435384,0.6979604700968112,1.0,2.0,3.0
Heart_Rate_P3,10,1.3660458644231162,0.7528256006203226,1.0,3.0,1.0
Heart_Rate_P3,10,1.3746729532877604,0.6596600630809472,1.0,3.0,2.0
Heart_Rate_P3,10,1.243979533513387,0.6889830004217351,1.0,3.0,3.0
Heart_Rate_P3,10,1.431217098236084,0.8148989297656366,2.0,1.0,1.0
Heart_Rate_P3,10,1.365589960416158,0.6981517930899633,2.0,1.0,2.0
Heart_Rate_P3,10,1.3433966398239137,0.7051708638634616,2.0,1.0,3.0
Heart_Rate_P3,10,1.448121730486552,0.7829747983385792,2.0,2.0,1.0
Heart_Rate_P3,10,1.4752953052520752,0.6318395873875354,2.0,2.0,2.0
Heart_Rate_P3,10,1.3196439822514852,0.6843512425486252,2.0,2.0,3.0
Heart_Rate_P3,10,1.4791140000025431,0.7774974851171327,2.0,3.0,1.0
Heart_Rate_P3,10,1.4801959673563638,0.6461140793715192,2.0,3.0,2.0
Heart_Rate_P3,10,1.3213863054911295,0.6869958795396728,2.0,3.0,3.0
Heart_Rate_P4,10,1.2643374999364216,0.7969170812813815,1.0,1.0,1.0
Heart_Rate_P4,10,1.2463637590408325,0.7572381031588324,1.0,1.0,2.0
Heart_Rate_P4,10,1.2405418237050374,0.7642342758224113,1.0,1.0,3.0
Heart_Rate_P4,10,1.402735956509908,0.7640448401579167,1.0,2.0,1.0
Heart_Rate_P4,10,1.398139762878418,0.7025722290170733,1.0,2.0,2.0
Heart_Rate_P4,10,1.2438263018925986,0.7367617711477049,1.0,2.0,3.0
Heart_Rate_P4,10,1.389652395248413,0.7676644216685937,1.0,3.0,1.0
Heart_Rate_P4,10,1.4073049465815226,0.6845230481933412,1.0,3.0,2.0
Heart_Rate_P4,10,1.2279532273610434,0.7460552134564455,1.0,3.0,3.0
Heart_Rate_P4,10,1.4279059569040935,0.7735402612065013,2.0,1.0,1.0
Heart_Rate_P4,10,1.3122819979985556,0.7193164093216086,2.0,1.0,2.0
