Dataset,1_1_1,1_1_2,1_1_3,1_2_1,1_2_2,1_2_3,1_3_1,1_3_2,1_3_3,2_1_1,2_1_2,2_1_3,2_2_1,2_2_2,2_2_3,2_3_1,2_3_2,2_3_3
Daily_Temperatures_730,0.4106249491373698,0.4089556535085042,0.4093261400858561,0.3997124274571736,0.4159735361735026,0.4003513733545939,0.3997288306554158,0.4144365708033243,0.4009565273920695,0.4343117872873942,0.436960236231486,0.4401932954788208,0.4260960499445597,0.441650660832723,0.4267336845397949,0.4273134072621663,0.4421992301940918,0.4285626649856567
Daily_Temperatures_365,0.9414077838261922,0.9072826782862344,0.970896331469218,0.6963807344436646,0.7123396237691243,0.692585563659668,0.6981048345565796,0.7090823332468669,0.693520991007487,1.029576547940572,0.9715116024017334,0.9386930068333944,0.7267251253128052,0.7399318377176921,0.7218541224797567,0.7310627778371175,0.7439974387486775,0.7248098611831665
Heart_Rate_P1_600,0.3027549346288045,0.3043666124343872,0.3036710659662882,0.2675593137741089,0.2828399499257406,0.2691187461217244,0.267606258392334,0.2823844750722249,0.2690748453140258,0.3343543926874796,0.3353371779123942,0.3349504868189494,0.2934785763422648,0.3093953688939412,0.2970283031463623,0.2940662225087483,0.3093320687611898,0.2984568039576212
Heart_Rate_P1_450,0.3636241992314656,0.362618080774943,0.3620709339777628,0.3174172560373942,0.3312777996063232,0.3180429458618164,0.3183651844660441,0.3309400876363118,0.3179948170979818,0.3939422289530436,0.3937642335891723,0.3921971559524536,0.3413345336914062,0.3581988334655762,0.343638547261556,0.3435930808385213,0.3585360447565714,0.3465517203013102
Heart_Rate_P1_360,0.3795220613479614,0.37946191628774,0.3817549228668213,0.3722088098526001,0.3867686907450358,0.3709988832473755,0.3704766352971395,0.3856587727864583,0.3724024375279745,0.4080194075902303,0.4085794846216837,0.4091146469116211,0.3965885559717814,0.4160624106725057,0.3982239325841268,0.4000098546346028,0.4167150100072225,0.3999024073282877
Heart_Rate_P1_300,0.4334327141443888,0.4344362656275431,0.4365347385406494,0.4258967638015747,0.4399287382761637,0.4262845277786254,0.4250753005345662,0.4398600339889526,0.4273813962936401,0.4643946170806884,0.464566961924235,0.4645157972971598,0.4531240065892537,0.4677083333333333,0.4508020718892415,0.4558978954950968,0.4735846757888794,0.4540815035502116
Heart_Rate_P1_225,0.5514984448750814,0.5452983697255452,0.54789613087972,0.5414169947306315,0.5460373560587565,0.5392449378967286,0.5409496704737345,0.5454712629318237,0.5379486560821534,0.5795691887537638,0.5860315084457397,0.5837946573893229,0.5693763415018718,0.5774496714274089,0.5620903015136719,0.5704654693603516,0.5813194433848063,0.5646836916605632
Heart_Rate_P1_200,0.7827159484227498,0.8804735501607259,0.8646316846211751,0.642495314280192,0.6352745691935221,0.6284355401992798,0.642018461227417,0.6357216199239095,0.626402219136556,0.930889622370402,0.9002110481262207,0.9290625015894572,0.6909695704778035,0.6825555562973022,0.6567216873168945,0.6921523094177247,0.6776959339777628,0.6621986389160156
Heart_Rate_P1_180,0.8926771799723308,0.8751223484675089,0.9492783387502034,0.7250281731287639,0.6938533544540405,0.6987932284673055,0.7206600427627563,0.6936096350351969,0.6990280628204346,0.9867805719375612,0.935460869471232,1.0351197719573977,0.7509215593338012,0.7312558412551879,0.7242765903472901,0.7556819756825764,0.7290889024734497,0.7275439421335856
Heart_Rate_P2_600,0.3036920070648193,0.3036648273468018,0.3041377703348795,0.2687487522761027,0.2825534025828043,0.2695123593012491,0.2686482111612955,0.2826178868611653,0.2697370688120524,0.3352923313776652,0.3336172660191854,0.3373402754465739,0.2943040053049723,0.3114957968393961,0.2973011255264282,0.2946423371632894,0.3092295408248901,0.2989190340042114
