Dataset,1_1_1,1_1_2,1_1_3,1_2_1,1_2_2,1_2_3,1_3_1,1_3_2,1_3_3,2_1_1,2_1_2,2_1_3,2_2_1,2_2_2,2_2_3,2_3_1,2_3_2,2_3_3
Daily_Temperatures_10,10.96135470867157,10.942906777064003,10.920861188570658,11.186925029754638,11.095335412025452,10.94690879980723,11.20944926738739,11.128133702278138,10.92868514060974,11.264577984809875,11.145571692784626,11.16819758415222,11.462065609296165,11.426766935984292,11.147776913642884,11.48261754512787,11.405266984303791,11.156368788083396
Heart_Rate_P1_10,2.91386079788208,2.87876783212026,2.8724952777226767,3.085539690653483,3.0473504304885863,2.887806264559428,3.0890419721603397,3.034642680486044,2.8772400856018066,3.094132645924886,2.989614741007487,2.966388138135274,3.258060089747111,3.187607169151306,2.961274536450704,3.2675238768259685,3.227160580952962,2.9744096914927165
Heart_Rate_P2_10,2.8939855972925823,2.866146143277486,2.858065382639567,3.111358062426249,3.0636405467987062,2.8647788842519124,3.0869239489237468,3.066098626454671,2.884779119491577,3.0795542637507123,2.9844360828399656,2.995642193158468,3.282746609052022,3.213458220163981,3.0314430236816405,3.2146507263183595,3.1799254496892293,3.025205055872599
Heart_Rate_P3_10,1.258843962351481,1.2513972759246823,1.2425014813741049,1.37545850276947,1.375942945480347,1.2381426175435384,1.3660458644231162,1.3746729532877604,1.243979533513387,1.431217098236084,1.365589960416158,1.3433966398239137,1.448121730486552,1.4752953052520752,1.3196439822514852,1.4791140000025431,1.4801959673563638,1.3213863054911297
Heart_Rate_P4_10,1.2643374999364216,1.2463637590408323,1.2405418237050374,1.402735956509908,1.398139762878418,1.2438263018925986,1.389652395248413,1.4073049465815226,1.2279532273610434,1.4279059569040935,1.3122819979985556,1.3364003896713257,1.566702953974406,1.5455422480901082,1.3523911714553831,1.5454331080118815,1.5383448998133342,1.340550661087036
Synthetic_1_10,1.414347529411316,1.402550196647644,1.4248133977254231,1.5539796749750774,1.596596844991048,1.413680132230123,1.5805319627126058,1.595586109161377,1.4244129021962484,1.5121795654296877,1.4778875509897869,1.508328413963318,1.60440141359965,1.7229995568593344,1.550155027707418,1.604180677731832,1.7275605122248332,1.5493767023086549
Synthetic_2_10,1.4493425925572714,1.462088418006897,1.4939089139302573,1.5597600221633912,1.5767918427785237,1.413607120513916,1.559347915649414,1.5776901880900065,1.4130616982777913,1.5629430850346884,1.6533044258753458,1.6498525857925417,1.703438639640808,1.6687429030736287,1.5584666887919107,1.7075746059417725,1.6750665108362834,1.5585372845331829
Synthetic_3_10,1.3648260752360026,1.3768152077992757,1.40474328994751,1.5038435618082682,1.5125357468922933,1.357507332166036,1.502430256207784,1.5118454535802206,1.35651699701945,1.5960658152898153,1.5078471342722577,1.5222048044204712,1.6702041228612263,1.6277920325597128,1.5056211709976195,1.661571248372396,1.6271119912465413,1.50630677541097
Synthetic_4_10,1.4301528374354044,1.4010835886001587,1.4447444279988606,1.554465635617574,1.5386158227920532,1.4153692801793416,1.5564668337504068,1.539278546969096,1.4164843479792275,1.6160243272781372,1.592238728205363,1.5716314395268758,1.661798318227132,1.5990504503250125,1.5077037811279297,1.6610836187998457,1.6027524709701535,1.5050063451131186
Synthetic_5_10,1.3929567734400432,1.383242925008138,1.404941550890605,1.5308662414550782,1.5796738862991333,1.390243895848592,1.522706468900045,1.5826550245285034,1.3940522909164428,1.507623314857483,1.5254951159159342,1.519514552752177,1.6495648860931396,1.6965308745702108,1.502523136138916,1.6519208192825316,1.7084592262903848,1.5011821428934733
